Date,Open,High,Low,Close,Volume
2019-05-24,283.74,284.2,282.09,282.78,55268095.0
2019-05-23,283.16,283.21,280.57,282.14,98733847.0
2019-05-22,285.45,286.69,285.1,285.63,49482472.0
2019-05-21,285.83,286.93,285.55,286.51,46847085.0
2019-05-20,284.06,285.43,283.12,283.95,62877610.0
2019-05-17,285.14,288.6,285.12,285.84,100353024.0
2019-05-16,285.84,289.21,285.76,287.7,76749643.0
2019-05-15,281.59,285.77,281.36,285.06,73956407.0
2019-05-14,281.99,285.1,281.85,283.4,77003230.0
2019-05-13,282.42,283.49,279.93,280.86,127290527.0
2019-05-10,285.62,288.94,282.3,288.1,112429293.0
2019-05-09,285.23,287.33,283.3,286.66,103471104.0
2019-05-08,287.53,289.43,286.87,287.53,91568287.0
2019-05-07,290.15,290.81,285.81,287.93,144729908.0
2019-05-06,289.25,293.31,288.9,292.82,107198069.0
2019-05-03,292.82,294.34,291.3,294.03,56543653.0
2019-05-02,291.68,292.7,289.52,291.18,65030170.0
2019-05-01,294.72,294.95,291.8,291.81,71671870.0
2019-04-30,293.49,294.34,291.92,294.02,81111733.0
2019-04-29,293.51,294.45,293.41,293.87,57197747.0
2019-04-26,292.1,293.49,291.24,293.41,50916423.0
2019-04-25,292.12,292.78,290.73,292.05,57770862.0
2019-04-24,292.79,293.16,292.07,292.23,50392914.0
2019-04-23,290.68,293.14,290.42,292.88,52246633.0
2019-04-22,289.17,290.44,289.07,290.27,40160140.0
2019-04-18,290.1,290.32,288.66,290.02,68708513.0
2019-04-17,291.4,291.43,288.99,289.45,58268295.0
2019-04-16,290.95,291.01,289.5,290.16,52153197.0
2019-04-15,290.24,290.35,289.08,289.97,49596685.0
2019-04-12,290.0,290.47,288.26,290.16,69727782.0
2019-04-11,288.83,288.84,287.58,288.21,55093100.0
2019-04-10,287.77,288.39,287.31,288.29,52601499.0
2019-04-09,287.72,288.08,286.7,287.31,66142316.0
2019-04-08,288.1,288.91,287.37,288.79,53566335.0
2019-04-05,287.92,288.63,287.6,288.57,58621729.0
2019-04-04,286.78,287.46,286.01,287.18,48997505.0
2019-04-03,287.32,287.76,285.75,286.42,68243202.0
2019-04-02,286.04,286.23,285.09,285.97,40070351.0
2019-04-01,284.7,286.16,284.4,285.83,77617945.0
2019-03-29,282.39,282.84,281.14,282.48,82186806.0
2019-03-28,280.35,281.21,279.07,280.71,56238545.0
2019-03-27,281.11,281.76,277.93,279.65,72224722.0
2019-03-26,280.99,282.18,279.56,281.12,68125920.0
2019-03-25,278.87,280.19,277.64,279.04,85575197.0
2019-03-22,283.22,283.8,279.18,279.25,122659286.0
2019-03-21,280.64,285.18,280.59,284.73,79550375.0
2019-03-20,282.16,283.5,280.32,281.55,84609210.0
2019-03-19,283.51,284.36,281.41,282.4,90268121.0
2019-03-18,281.55,282.66,281.3,282.33,62199806.0
2019-03-15,280.54,282.21,280.33,281.31,81308979.0
2019-03-14,281.37,281.84,280.67,281.16,67518366.0
2019-03-13,280.48,282.38,280.3,281.34,80639153.0
2019-03-12,279.06,280.07,278.85,279.49,79667530.0
2019-03-11,275.26,278.62,275.23,278.44,65098897.0
2019-03-08,272.94,274.65,272.42,274.46,85795799.0
2019-03-07,276.83,276.99,274.07,275.01,94885089.0
2019-03-06,279.15,279.16,276.97,277.33,75039771.0
2019-03-05,279.54,279.76,278.41,279.02,59114559.0
2019-03-04,281.6,281.87,276.84,279.4,106494637.0
2019-03-01,280.44,280.88,278.82,280.42,78880548.0
2019-02-28,278.96,279.45,278.32,278.68,69268293.0
2019-02-27,278.52,279.59,277.48,279.2,56921570.0
2019-02-26,279.13,280.3,278.9,279.32,56844101.0
2019-02-25,280.73,281.31,279.43,279.52,69030699.0
2019-02-22,278.11,279.36,277.4,279.14,78114616.0
2019-02-21,277.7,278.1,276.35,277.42,64214727.0
2019-02-20,277.81,278.92,277.25,278.41,76610767.0
2019-02-19,276.48,278.58,276.47,277.85,59120804.0
2019-02-15,276.36,277.41,276.13,277.37,97088659.0
2019-02-14,273.78,275.64,272.87,274.38,83234396.0
2019-02-13,275.03,275.93,274.56,274.99,65277204.0
2019-02-12,272.42,274.52,272.34,274.1,72270221.0
2019-02-11,271.2,271.49,270.03,270.62,68021423.0
2019-02-08,268.75,270.58,267.83,270.47,75788861.0
2019-02-07,270.94,271.55,268.29,270.14,95481961.0
2019-02-06,272.79,273.34,271.92,272.74,58347791.0
2019-02-05,272.44,273.44,271.88,273.1,79552774.0
2019-02-04,270.11,272.03,269.36,271.96,60744844.0
2019-02-01,270.15,271.2,269.18,270.06,85782524.0
2019-01-31,267.51,270.47,267.27,269.93,104012073.0
2019-01-30,265.1,268.52,264.25,267.58,92473671.0
2019-01-29,263.92,264.55,262.48,263.41,66136334.0
2019-01-28,263.39,263.83,261.79,263.76,85613655.0
2019-01-25,265.61,266.7,263.66,265.78,96883358.0
2019-01-24,263.21,264.2,262.08,263.55,59204139.0
2019-01-23,264.01,264.79,260.66,263.41,86030287.0
2019-01-22,264.82,265.06,261.06,262.86,115531183.0
2019-01-18,264.98,266.98,263.0,266.46,127900303.0
